                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6654,                  3.285,                 1.3323,                0.02524,                    0.5,                0.32189,                0.13804,                 2.2437,                 3.3809,                  1.105,             0.00038341,             0.00038341,             0.00038341
                      2,                 2.2244,                 1.7734,                 1.1594,                0.04157,                   0.69,                0.59933,                0.23638,                 2.0467,                 2.7458,                 1.0716,             0.00077056,             0.00077056,             0.00077056
                      3,                 2.1992,                 1.5197,                 1.1531,                0.10837,                   0.28,                0.12166,                0.04403,                 1.8578,                 3.0181,                 1.0188,              0.0011445,              0.0011445,              0.0011445
                      4,                 2.1408,                 1.3979,                 1.1401,                0.91645,                0.43877,                0.76292,                0.25148,                 2.0313,                 2.3336,                 1.0714,              0.0015053,              0.0015053,              0.0015053
                      5,                 2.1369,                 1.3004,                 1.1376,                0.84572,                0.76744,                0.76909,                0.27916,                 1.8747,                 1.5784,                 1.0475,               0.001557,               0.001557,               0.001557
                      6,                 2.0762,                 1.2179,                 1.1081,                0.89737,                0.87439,                0.91593,                0.35959,                 1.8637,                 1.2339,                 1.0087,              0.0015295,              0.0015295,              0.0015295
                      7,                 1.9931,                 1.1496,                 1.0856,                0.97976,                0.96822,                0.95189,                0.33469,                 1.9605,                 1.0157,                 1.0728,               0.001502,               0.001502,               0.001502
                      8,                 1.9986,                 1.1445,                 1.1034,                 0.8629,                0.88119,                0.89285,                0.33431,                 2.0613,                 1.1493,                 1.0905,              0.0014745,              0.0014745,              0.0014745
                      9,                  1.949,                 1.1052,                 1.0581,                0.85568,                0.88934,                0.86794,                0.28211,                 2.2333,                 1.0568,                 1.1432,               0.001447,               0.001447,               0.001447
                     10,                 1.9641,                 1.0615,                 1.0848,                0.93133,                   0.91,                0.92238,                0.35833,                 2.0064,                 1.0342,                 1.0623,              0.0014195,              0.0014195,              0.0014195
                     11,                 1.9313,                 1.0628,                 1.0872,                0.88736,                    0.9,                 0.9122,                0.36387,                 1.9484,                 1.0297,                  1.062,              0.0013919,              0.0013919,              0.0013919
                     12,                 1.8656,                 1.0376,                 1.0693,                0.87929,                0.94702,                0.93775,                0.34548,                 2.0151,                 1.0405,                 1.0763,              0.0013644,              0.0013644,              0.0013644
                     13,                 1.9151,                 1.0205,                 1.0575,                0.85024,                    0.9,                0.88529,                 0.3617,                 1.8713,                0.96771,                 1.0613,              0.0013369,              0.0013369,              0.0013369
                     14,                 1.8425,                0.97347,                 1.0349,                0.91876,                0.90478,                0.92616,                0.38783,                 1.8848,                0.93398,                 1.0445,              0.0013094,              0.0013094,              0.0013094
                     15,                 1.8457,                0.98321,                 1.0595,                0.92727,                   0.92,                0.92412,                0.41252,                  1.854,                0.92861,                 1.0252,              0.0012819,              0.0012819,              0.0012819
                     16,                 1.8283,                0.97394,                 1.0448,                0.91184,                0.93089,                0.92836,                0.35646,                 1.9098,                0.93256,                  1.042,              0.0012544,              0.0012544,              0.0012544
                     17,                 1.8011,                0.94919,                 1.0415,                0.90784,                   0.94,                0.89087,                0.33851,                  1.921,                0.92604,                 1.0406,              0.0012269,              0.0012269,              0.0012269
                     18,                 1.7853,                0.94979,                 1.0319,                0.95314,                   0.92,                0.93246,                0.34169,                  1.917,                0.92083,                 1.0445,              0.0011994,              0.0011994,              0.0011994
                     19,                 1.8224,                0.96318,                  1.041,                0.90651,                   0.93,                0.89544,                 0.3161,                 1.9574,                 1.0523,                 1.0594,              0.0011719,              0.0011719,              0.0011719
                     20,                  1.801,                0.92357,                 1.0404,                0.91062,                   0.94,                0.94614,                0.32046,                 1.9325,                0.99149,                  1.051,              0.0011444,              0.0011444,              0.0011444
                     21,                 1.7551,                 0.9136,                 1.0125,                0.79128,                   0.89,                0.86712,                0.29673,                 1.9355,                0.96038,                 1.0954,              0.0011169,              0.0011169,              0.0011169
                     22,                 1.7328,                0.90462,                  1.028,                 0.8989,                0.88912,                0.89944,                 0.3932,                 1.8294,                0.89769,                 1.0368,              0.0010894,              0.0010894,              0.0010894
                     23,                 1.7563,                0.90568,                 1.0309,                0.87422,                0.90357,                0.91705,                0.36828,                 1.7643,                0.90495,                 1.0135,              0.0010619,              0.0010619,              0.0010619
                     24,                 1.7294,                0.88638,                 1.0153,                0.89104,                   0.94,                0.93116,                0.34726,                 1.7639,                0.91532,                 1.0243,              0.0010344,              0.0010344,              0.0010344
                     25,                 1.7291,                0.93475,                 1.0244,                0.83618,                0.86777,                0.84102,                0.33505,                 1.7637,                0.93666,                 1.0127,              0.0010069,              0.0010069,              0.0010069
                     26,                  1.721,                0.91416,                 1.0126,                0.91125,                   0.91,                0.93809,                0.38274,                  1.724,                 0.8811,                 1.0103,             0.00097936,             0.00097936,             0.00097936
                     27,                 1.7295,                0.91267,                 1.0192,                 0.8875,                0.94672,                  0.913,                0.38518,                 1.7371,                0.93477,                 1.0038,             0.00095186,             0.00095186,             0.00095186
                     28,                 1.7368,                0.90754,                 1.0442,                0.86037,                   0.95,                0.91119,                0.36236,                 1.7316,                0.93843,                 1.0018,             0.00092435,             0.00092435,             0.00092435
                     29,                 1.6648,                0.91088,                 1.0145,                 0.8669,                   0.91,                0.91825,                0.38606,                 1.7137,                0.86508,                 0.9867,             0.00089685,             0.00089685,             0.00089685
                     30,                 1.6483,                0.88077,                0.99734,                 0.8384,                   0.83,                0.86307,                0.33917,                 1.6894,                 0.9534,                 1.0077,             0.00086934,             0.00086934,             0.00086934
                     31,                 1.6953,                0.89252,                 1.0255,                0.87771,                   0.89,                0.89345,                0.38162,                 1.6179,                0.92213,                0.97552,             0.00084184,             0.00084184,             0.00084184
                     32,                 1.7056,                0.89349,                 1.0247,                0.79781,                   0.87,                0.86641,                0.34595,                 1.6043,                0.91526,                0.97007,             0.00081433,             0.00081433,             0.00081433
                     33,                 1.6444,                0.87955,                 1.0006,                0.84639,                   0.91,                0.91786,                0.35178,                 1.6206,                0.97155,                0.99343,             0.00078682,             0.00078682,             0.00078682
                     34,                 1.6419,                0.90068,                  1.028,                 0.8067,                   0.89,                0.89129,                0.35741,                 1.7262,                0.97658,                 1.0171,             0.00075932,             0.00075932,             0.00075932
                     35,                 1.6389,                0.88051,                 1.0048,                0.82646,                0.85723,                0.88031,                0.35289,                 1.6389,                0.95484,                0.98454,             0.00073181,             0.00073181,             0.00073181
                     36,                 1.6456,                0.87226,                 1.0098,                0.82707,                0.81306,                0.86682,                0.32989,                 1.6882,                0.98676,                 1.0187,             0.00070431,             0.00070431,             0.00070431
                     37,                 1.6346,                0.87433,                0.99602,                0.85288,                0.81164,                0.88796,                0.34322,                 1.6735,                0.99639,                0.99985,              0.0006768,              0.0006768,              0.0006768
                     38,                  1.572,                0.85054,                0.97854,                0.90238,                   0.85,                0.90756,                0.33075,                 1.6478,                0.98388,                 1.0059,              0.0006493,              0.0006493,              0.0006493
                     39,                 1.6086,                0.88221,                 1.0005,                0.85997,                   0.81,                0.87831,                0.34043,                 1.6303,                0.96143,                0.99374,             0.00062179,             0.00062179,             0.00062179
                     40,                 1.5866,                0.85342,                0.98626,                0.89025,                0.81114,                0.89659,                0.31733,                 1.6836,                0.96083,                 1.0153,             0.00059429,             0.00059429,             0.00059429
                     41,                 1.5815,                0.85894,                0.99696,                0.88511,                   0.86,                0.91123,                0.32718,                 1.7168,                0.94559,                 1.0128,             0.00056678,             0.00056678,             0.00056678
                     42,                 1.5479,                0.84635,                0.98156,                0.82801,                   0.85,                0.84123,                0.35657,                 1.6519,                0.93884,                0.99193,             0.00053927,             0.00053927,             0.00053927
                     43,                 1.5604,                0.84062,                0.98155,                 0.7964,                0.89967,                0.87137,                 0.3386,                  1.679,                0.99136,                 1.0238,             0.00051177,             0.00051177,             0.00051177
                     44,                  1.547,                0.86282,                0.98947,                0.81122,                   0.87,                0.89009,                0.35848,                 1.6696,                0.92258,                0.99402,             0.00048426,             0.00048426,             0.00048426
                     45,                 1.5814,                0.86186,                0.99142,                0.88554,                   0.83,                0.89139,                 0.3562,                 1.6288,                0.94418,                0.99594,             0.00045676,             0.00045676,             0.00045676
                     46,                 1.5118,                0.84439,                0.98251,                0.79044,                   0.85,                0.82454,                0.34918,                  1.635,                0.93632,                0.99906,             0.00042925,             0.00042925,             0.00042925
                     47,                 1.5309,                0.82707,                0.97633,                0.84889,                   0.91,                0.89936,                0.35791,                 1.5833,                0.90379,                0.97863,             0.00040175,             0.00040175,             0.00040175
                     48,                   1.54,                0.84041,                0.97394,                0.79075,                   0.92,                0.88865,                0.36382,                 1.5974,                0.94227,                0.98876,             0.00037424,             0.00037424,             0.00037424
                     49,                  1.484,                0.82439,                0.97715,                0.81494,                 0.9248,                0.89457,                0.35547,                 1.5758,                0.91827,                0.97552,             0.00034674,             0.00034674,             0.00034674
                     50,                 1.5193,                0.83733,                 0.9729,                 0.7682,                 0.8948,                0.79082,                0.32291,                 1.6867,                0.98757,                 1.0103,             0.00031923,             0.00031923,             0.00031923
                     51,                 1.4265,                0.83051,                  0.994,                0.82382,                0.88848,                0.87388,                0.32983,                 1.6731,                0.96656,                  1.006,             0.00029172,             0.00029172,             0.00029172
                     52,                 1.4372,                0.80939,                0.99843,                0.84408,                   0.93,                0.88362,                 0.3717,                 1.5712,                0.92325,                0.98022,             0.00026422,             0.00026422,             0.00026422
                     53,                 1.4399,                 0.8161,                 0.9963,                0.85619,                0.89305,                0.88533,                0.35973,                 1.5633,                0.95213,                0.97688,             0.00023671,             0.00023671,             0.00023671
                     54,                 1.4231,                0.80704,                0.97765,                0.84901,                    0.9,                0.89817,                0.34129,                  1.559,                0.94582,                0.98085,             0.00020921,             0.00020921,             0.00020921
                     55,                  1.377,                0.79136,                0.97832,                0.83854,                0.88289,                0.89091,                0.35616,                 1.5359,                0.92537,                 0.9713,              0.0001817,              0.0001817,              0.0001817
                     56,                   1.42,                0.80641,                 1.0007,                0.85144,                   0.88,                0.89767,                0.37433,                 1.5099,                0.91209,                0.97309,              0.0001542,              0.0001542,              0.0001542
                     57,                 1.4073,                0.80339,                0.99541,                0.87846,                   0.86,                0.90583,                0.36164,                 1.5448,                0.92106,                 0.9784,             0.00012669,             0.00012669,             0.00012669
                     58,                 1.3951,                0.79414,                0.98742,                0.88028,                   0.86,                0.89636,                0.34089,                 1.5452,                0.93297,                0.98591,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     59,                 1.4021,                0.79773,                0.99797,                0.84674,                   0.88,                 0.8993,                0.34909,                 1.5292,                0.93406,                0.98144,             7.1681e-05,             7.1681e-05,             7.1681e-05
                     60,                 1.3655,                0.78781,                0.97388,                0.82978,                   0.91,                0.89549,                0.36177,                  1.513,                 0.9195,                0.97251,             4.4176e-05,             4.4176e-05,             4.4176e-05
